season,player_id,position_final,player_name,team,passing_yards,passing_tds,passing_interceptions,sacks_suffered,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,passing_epa,rushing_epa,receiving_epa,total_epa,production_score,cap_number,cash_paid,has_contract_match,has_missing_contract,meets_sample_threshold,sample_confidence,contract_confidence,overall_confidence,draft_year,draft_round,draft_pick,years_since_drafted,draft_capital_bucket,estimated_contract_stage,is_likely_rookie_contract,production_rank_position,cost_rank_position,player_surplus_gap,player_surplus_rank,candidate_season,next_team,next_production_score,next_total_epa,next_cap_number,next_player_surplus_gap,next_production_rank_position,next_cost_rank_position,group,appeared_next_year,remained_positive_surplus,remained_strong_surplus,improved_production,hit
2024,00-0039893,WR,Brian Thomas Jr.,JAX,0,0,0,0,48,0,87,1282,10,133,0.0,2.5674521619512234,54.24299310326108,56.8104452652123,175.0604452652123,2.66545,8.2768,True,False,True,normal_sample,contract_matched,high,2024.0,1.0,23.0,0.0,round_1,rookie_contract,True,5.0,53.0,48.0,6.0,2024,JAX,77.46371344812763,20.06371344812764,3.331813,2.0,44.0,46.0,model_candidates,True,True,False,False,True
2024,00-0039894,WR,Xavier Worthy,KC,0,0,0,0,104,3,59,638,6,98,0.0,2.9600664820172824,19.35543148920299,22.31549797122027,101.16549797122028,2.507321,7.644284,True,False,True,normal_sample,contract_matched,high,2024.0,1.0,28.0,0.0,round_1,rookie_contract,True,36.0,56.0,20.0,30.0,2024,KC,62.862803113247885,18.41280311324788,3.134151,-3.0,52.0,49.0,model_candidates,True,False,False,False,False
2024,00-0039901,WR,Keon Coleman,BUF,0,0,0,0,9,0,29,556,4,57,0.0,0.7819009409286082,25.26914595579427,26.051046896722877,73.55104689672288,1.831683,4.941732,True,False,True,normal_sample,contract_matched,high,2024.0,2.0,33.0,0.0,round_2,rookie_contract,True,54.0,64.0,10.0,44.0,2024,BUF,54.09113741616928,12.39113741616928,2.289604,-8.0,62.0,54.0,model_candidates,True,False,False,False,False
2024,00-0039910,QB,Jayden Daniels,WAS,3568,25,9,47,891,6,0,0,0,0,60.85465113376048,58.51847189990886,0.0,119.37312303366934,237.85312303366936,6.863027,25.067108,True,False,True,normal_sample,contract_matched,high,2024.0,1.0,2.0,0.0,round_1,rookie_contract,True,5.0,25.0,20.0,2.0,2024,WAS,33.93823457621316,-4.081765423786839,8.578784,-7.0,31.0,24.0,model_candidates,True,False,False,False,False
2024,00-0039915,WR,Ladd McConkey,LAC,0,0,0,0,0,0,82,1149,7,112,0.0,0.0,65.70744334692658,65.70744334692658,164.65744334692658,1.817306,4.884224,True,False,True,normal_sample,contract_matched,high,2024.0,2.0,34.0,0.0,round_2,rookie_contract,True,6.0,65.0,59.0,2.0,2024,LAC,81.18522750449289,7.235227504492887,2.271633,17.0,38.0,55.0,model_candidates,True,True,True,False,True
2021,00-0033280,RB,Christian McCaffrey,CAR,0,0,0,0,442,1,37,343,1,41,0.0,1.778066263726117,21.083400368283037,22.86146663200915,77.36146663200915,6.8995,8.2375,True,False,True,normal_sample,contract_matched,high,2017.0,1.0,8.0,4.0,round_1,possible_fifth_year_option,True,20.0,5.0,-15.0,52.0,2021,SF,135.05186249853563,29.21186249853561,0.69,50.0,5.0,55.0,not_flagged_baseline,True,True,True,True,True
2021,00-0033536,WR,Mike Williams,LAC,0,0,0,0,0,0,76,1146,9,129,0.0,0.0,66.66828882257889,66.66828882257889,169.9682888225789,15.68,15.68,True,False,True,normal_sample,contract_matched,high,2017.0,1.0,7.0,4.0,round_1,possible_fifth_year_option,True,8.0,7.0,-1.0,52.0,2021,LAC,104.08431950041044,31.584319500410423,14.0,-23.0,28.0,5.0,not_flagged_baseline,True,False,False,False,False
2021,00-0033871,WR,Corey Davis,NYJ,0,0,0,0,0,0,34,492,4,59,0.0,0.0,-0.8347992301747356,-0.8347992301747356,44.26520076982526,12.666666,14.0,True,False,True,normal_sample,contract_matched,high,2017.0,1.0,5.0,4.0,round_1,possible_fifth_year_option,True,78.0,9.0,-69.0,98.0,2021,NYJ,52.62272484340909,11.822724843409087,13.666666,-66.0,72.0,6.0,not_flagged_baseline,True,False,False,True,True
2021,00-0033881,TE,Evan Engram,NYG,0,0,0,0,-3,0,46,408,3,73,0.0,-1.524498006911017,-10.748071335000818,-12.272569341911836,28.477430658088167,6.013,6.013,True,False,True,normal_sample,contract_matched,high,2017.0,1.0,23.0,4.0,round_1,possible_fifth_year_option,True,32.0,6.0,-26.0,36.0,2021,JAX,103.46395132783294,34.26395132783294,8.970588,2.0,4.0,6.0,not_flagged_baseline,True,True,False,True,True
2021,00-0033885,TE,David Njoku,CLE,0,0,0,0,1,0,36,475,4,53,0.0,-0.5057117864489555,21.50712458865616,21.00141280220721,65.80141280220721,6.013,6.013,True,False,True,normal_sample,contract_matched,high,2017.0,1.0,29.0,4.0,round_1,possible_fifth_year_option,True,14.0,6.0,-8.0,28.0,2021,CLE,79.67499826220431,22.174998262204305,3.328,11.0,6.0,17.0,not_flagged_baseline,True,True,True,True,True
2021,00-0034272,WR,Marquez Valdes-Scantling,GB,0,0,0,0,0,0,26,430,3,55,0.0,0.0,9.810256269082616,9.810256269082616,46.810256269082615,2.237389,2.183,True,False,True,normal_sample,contract_matched,high,2018.0,5.0,174.0,3.0,rounds_4_5,rookie_contract,True,76.0,52.0,-24.0,79.0,2021,KC,66.99403431545281,16.294034315452812,5.0,-23.0,54.0,31.0,not_flagged_baseline,True,False,False,True,True
2021,00-0034348,WR,Courtland Sutton,DEN,16,0,0,0,0,0,58,776,2,98,1.001634000451304,0.0,20.20711837010122,21.208752370552524,80.66875237055254,4.146987,8.183,True,False,True,normal_sample,contract_matched,high,2018.0,2.0,40.0,3.0,round_2,rookie_contract,True,48.0,32.0,-16.0,72.0,2021,DEN,87.70153662593195,24.001536625931944,5.325,-10.0,40.0,30.0,not_flagged_baseline,True,False,False,True,True
2021,00-0034367,RB,Nyheim Hines,IND,0,0,0,0,276,2,40,310,1,57,0.0,3.9944264685792374,4.338703770994259,8.333130239573496,56.6331302395735,2.681137,7.0,True,False,True,normal_sample,contract_matched,high,2018.0,4.0,104.0,3.0,rounds_4_5,rookie_contract,True,36.0,19.0,-17.0,54.0,2021,,,,,,,,not_flagged_baseline,False,False,False,False,False
2021,00-0034407,WR,Ray-Ray McCloud,PIT,0,0,0,0,15,0,39,277,0,66,0.0,0.0395745519781485,-14.2788928315848,-14.239318279606652,10.11068172039335,1.0,1.0,True,False,True,normal_sample,contract_matched,high,2018.0,6.0,187.0,3.0,rounds_6_7,rookie_contract,True,102.0,75.0,-27.0,82.0,2021,,,,,,,,not_flagged_baseline,False,False,False,False,False
2021,00-0034411,WR,Russell Gage,ATL,0,0,0,0,0,0,66,770,4,94,0.0,0.0,9.49708630586398,9.49708630586398,76.49708630586397,2.222048,2.183,True,False,True,normal_sample,contract_matched,high,2018.0,6.0,194.0,3.0,rounds_6_7,rookie_contract,True,50.0,53.0,3.0,50.0,2021,TB,69.55776504189731,20.507765041897308,5.666666,-21.0,50.0,29.0,not_flagged_baseline,True,False,False,False,False
2021,00-0034440,RB,Justin Jackson,LAC,0,0,0,0,364,2,22,178,0,25,0.0,0.0122175703295805,5.932369897374883,5.944587467704464,44.54458746770446,0.92,0.92,True,False,True,normal_sample,contract_matched,high,2018.0,7.0,251.0,3.0,rounds_6_7,rookie_contract,True,46.0,49.0,3.0,35.0,2021,,,,,,,,not_flagged_baseline,False,False,False,False,False
2021,00-0034676,WR,James Washington,PIT,0,0,0,0,13,0,24,285,2,44,0.0,0.6088325600139797,-7.221282243187222,-6.612449683173242,20.28755031682676,1.432247,1.093821,True,False,True,normal_sample,contract_matched,high,2018.0,2.0,60.0,3.0,round_2,rookie_contract,True,99.0,64.0,-35.0,86.0,2021,,,,,,,,not_flagged_baseline,False,False,False,False,False
2021,00-0034750,RB,Rashaad Penny,SEA,0,0,0,0,749,6,6,48,0,8,0.0,11.201961654747096,0.729798308356552,11.931759963103646,71.28175996310365,3.425366,1.948014,True,False,True,normal_sample,contract_matched,high,2018.0,1.0,27.0,3.0,round_1,rookie_contract,True,23.0,14.0,-9.0,44.0,2021,SEA,39.31362550929188,14.213625509291887,5.63,-37.0,47.0,10.0,not_flagged_baseline,True,False,False,False,False
2021,00-0034764,WR,Michael Gallup,DAL,0,0,0,0,0,0,35,445,2,62,0.0,0.0,18.40413693504282,18.40413693504282,55.40413693504282,2.655495,2.433,True,False,True,normal_sample,contract_matched,high,2018.0,3.0,81.0,3.0,round_3,rookie_contract,True,64.0,48.0,-16.0,72.0,2021,DAL,42.47266073770457,-0.4773392622954349,4.823529,-48.0,82.0,34.0,not_flagged_baseline,True,False,False,False,False
2021,00-0034765,WR,Tre'Quan Smith,NO,0,0,0,0,0,0,32,377,3,50,0.0,0.0,12.518628092726908,12.518628092726908,48.36862809272691,1.432989,2.183,True,False,True,normal_sample,contract_matched,high,2018.0,3.0,91.0,3.0,round_3,rookie_contract,True,70.0,63.0,-7.0,60.0,2021,,,,,,,,not_flagged_baseline,False,False,False,False,False
2021,00-0034798,TE,Durham Smythe,MIA,0,0,0,0,3,0,34,357,0,41,0.0,1.3401846177875996,14.968283768830588,16.308468386618188,42.80846838661819,2.341058,2.183,True,False,True,normal_sample,contract_matched,high,2018.0,4.0,123.0,3.0,rounds_4_5,rookie_contract,True,25.0,24.0,-1.0,17.0,2021,,,,,,,,not_flagged_baseline,False,False,False,False,False
2021,00-0034816,RB,Ronald Jones,TB,0,0,0,0,428,4,10,64,0,13,0.0,-3.8528177159896586,0.2777882239897735,-3.575029491999885,35.52497050800012,2.250158,1.444353,True,False,True,normal_sample,contract_matched,high,2018.0,2.0,38.0,3.0,round_2,rookie_contract,True,54.0,23.0,-31.0,64.0,2021,,,,,,,,not_flagged_baseline,False,False,False,False,False
2021,00-0034837,WR,Calvin Ridley,ATL,0,0,0,0,0,0,31,281,2,52,0.0,0.0,7.901234673704039,7.901234673704039,35.701234673704036,3.468415,1.966464,True,False,True,normal_sample,contract_matched,high,2018.0,1.0,26.0,3.0,round_1,rookie_contract,True,87.0,38.0,-49.0,90.0,2021,,,,,,,,not_flagged_baseline,False,False,False,False,False
2021,00-0034844,RB,Saquon Barkley,NYG,0,0,0,0,593,2,41,263,2,57,0.0,-20.349857543361633,-3.736571233836002,-24.086428777197636,40.963571222802365,10.025602,4.833829,True,False,True,normal_sample,contract_matched,high,2018.0,1.0,2.0,3.0,round_1,rookie_contract,True,49.0,2.0,-47.0,67.0,2021,NYG,98.63958742913314,-28.11041257086687,7.217,-5.0,10.0,5.0,not_flagged_baseline,True,False,False,True,True
2021,00-0034845,RB,Sony Michel,LA,0,0,0,0,845,4,21,128,1,33,0.0,-21.070007933954304,-8.643807557342068,-29.713815491296373,39.186184508703626,1.792731,1.792731,True,False,True,normal_sample,contract_matched,high,2018.0,1.0,31.0,3.0,round_1,rookie_contract,True,53.0,28.0,-25.0,61.0,2021,,,,,,,,not_flagged_baseline,False,False,False,False,False
2021,00-0034855,QB,Baker Mayfield,CLE,3010,17,13,43,134,1,0,11,0,0,-5.397413046271426,6.111318557494082,0.0,0.7139055112226558,38.31390551122266,10.56913,5.10677,True,False,True,normal_sample,contract_matched,high,2018.0,1.0,1.0,3.0,round_1,rookie_contract,True,24.0,13.0,-11.0,30.0,2021,,,,,,,,not_flagged_baseline,False,False,False,False,False
2021,00-0034869,QB,Sam Darnold,CAR,2527,9,13,35,222,5,0,0,0,0,-76.71357971897748,3.878886218132827,0.0,-72.83469350084465,-38.21469350084465,4.774685,4.774685,True,False,True,normal_sample,contract_matched,high,2018.0,1.0,3.0,3.0,round_1,rookie_contract,True,35.0,26.0,-9.0,26.0,2021,CAR,45.297183518314085,17.06718351831408,18.858,-15.0,25.0,10.0,not_flagged_baseline,True,False,False,True,True
2021,00-0034972,RB,Alexander Mattison,MIN,0,0,0,0,491,3,32,228,1,39,0.0,-25.9953988567139,-2.7079422143603007,-28.703341071074203,27.246658928925797,1.055545,0.85,True,False,True,normal_sample,contract_matched,high,2019.0,3.0,102.0,2.0,round_3,rookie_contract,True,62.0,45.0,-17.0,54.0,2021,,,,,,,,not_flagged_baseline,False,False,False,False,False
2021,00-0034981,TE,Foster Moreau,LV,0,0,0,0,0,0,30,373,3,44,0.0,0.0,-0.8733873719285308,-0.8733873719285308,34.276612628071476,0.972098,0.85,True,False,True,normal_sample,contract_matched,high,2019.0,4.0,137.0,2.0,rounds_4_5,rookie_contract,True,29.0,33.0,4.0,12.0,2021,LV,43.76547742337571,8.415477423375705,2.662098,-4.0,24.0,20.0,not_flagged_baseline,True,False,False,True,True
2021,00-0035229,TE,T.J. Hockenson,DET,0,0,0,0,0,0,61,583,4,84,0.0,0.0,5.467852340760338,5.467852340760338,61.86785234076034,5.580789,2.47193,True,False,True,normal_sample,contract_matched,high,2019.0,1.0,8.0,2.0,round_1,rookie_contract,True,18.0,13.0,-5.0,23.0,2021,MIN,56.20297284579084,6.252972845790833,0.536111,16.0,18.0,34.0,not_flagged_baseline,True,True,True,False,True
2021,00-0035243,RB,Miles Sanders,PHI,0,0,0,0,754,0,26,158,0,34,0.0,1.4463249936548692,-6.752762110539461,-5.306437116884592,46.793562883115406,1.461881,0.982294,True,False,True,normal_sample,contract_matched,high,2019.0,2.0,53.0,2.0,round_2,rookie_contract,True,42.0,35.0,-7.0,42.0,2021,PHI,106.76362264232895,1.4136226423289635,1.705528,22.0,8.0,30.0,not_flagged_baseline,True,True,True,True,True
2021,00-0035311,RB,Myles Gaskin,MIA,0,0,0,0,612,3,49,234,4,63,0.0,-28.634547220778195,-6.788066962198538,-35.42261418297673,40.127385817023274,0.871777,0.85,True,False,True,normal_sample,contract_matched,high,2019.0,7.0,234.0,2.0,rounds_6_7,rookie_contract,True,51.0,51.0,0.0,36.0,2021,,,,,,,,not_flagged_baseline,False,False,False,False,False
2021,00-0035535,WR,Darius Slayton,NYG,0,0,0,0,-13,0,26,339,2,58,0.0,-1.7453839217778295,-14.252361351251915,-15.997745273029746,12.802254726970254,0.908721,0.85,True,False,True,normal_sample,contract_matched,high,2019.0,5.0,171.0,2.0,rounds_4_5,rookie_contract,True,101.0,83.0,-18.0,74.0,2021,NYG,88.95416537458641,35.254165374586414,1.023721,44.0,38.0,82.0,not_flagged_baseline,True,True,True,True,True
2021,00-0035700,RB,Josh Jacobs,LV,0,0,0,0,872,9,54,348,0,64,0.0,-32.179233697576834,-5.931718474118636,-38.11095217169547,63.38904782830453,3.254563,1.579854,True,False,True,normal_sample,contract_matched,high,2019.0,1.0,24.0,2.0,round_1,rookie_contract,True,31.0,15.0,-16.0,53.0,2021,LV,152.52678553527323,0.6267855352732168,3.79699,13.0,3.0,16.0,not_flagged_baseline,True,True,True,True,True
2021,00-0035710,QB,Daniel Jones,NYG,2428,10,7,22,298,2,1,16,0,1,-11.39888125137738,7.627667821375422,0.98088472627569,-2.790328703726269,43.93967129627373,7.174288,3.003096,True,False,True,normal_sample,contract_matched,high,2019.0,1.0,6.0,2.0,round_1,rookie_contract,True,22.0,19.0,-3.0,21.0,2021,NYG,157.83464483283862,60.384644832838624,8.365836,13.0,7.0,20.0,not_flagged_baseline,True,True,True,True,True
2021,00-0036212,QB,Tua Tagovailoa,MIA,2653,16,10,20,128,3,0,0,0,0,20.961968126926603,-5.070938456561821,0.0,15.891029670364782,64.8210296703648,6.880781,1.986156,True,False,True,normal_sample,contract_matched,high,2020.0,1.0,5.0,1.0,round_1,rookie_contract,True,21.0,20.0,-1.0,18.0,2021,MIA,154.9867511890602,87.25675118906018,8.256937,14.0,8.0,22.0,not_flagged_baseline,True,True,True,True,True
2021,00-0036251,RB,Zack Moss,BUF,0,0,0,0,345,4,23,197,1,32,0.0,-9.730604019184575,-2.7341552287912223,-12.464759247975795,35.3852407520242,1.048256,0.819651,True,False,True,normal_sample,contract_matched,high,2020.0,3.0,86.0,1.0,round_3,rookie_contract,True,55.0,46.0,-9.0,44.0,2021,IND,17.00801612243469,-5.841983877565314,0.54375,2.0,55.0,57.0,not_flagged_baseline,True,True,False,False,True
2021,00-0036268,WR,Laviska Shenault Jr.,JAX,0,0,0,0,41,0,63,619,0,100,0.0,-1.259074146510102,3.5336986072479544,2.2746244607378525,51.024624460737854,1.749106,0.959821,True,False,True,normal_sample,contract_matched,high,2020.0,2.0,42.0,1.0,round_2,rookie_contract,True,66.0,59.0,-7.0,60.0,2021,,,,,,,,not_flagged_baseline,False,False,False,False,False
2021,00-0036275,RB,D'Andre Swift,DET,0,0,0,0,617,5,62,452,2,78,-0.912519452162087,-26.86820022217472,-7.822526139354126,-35.60324581369093,54.34675418630907,1.940663,0.998133,True,False,True,normal_sample,contract_matched,high,2020.0,2.0,35.0,1.0,round_2,rookie_contract,True,39.0,27.0,-12.0,48.0,2021,DET,97.2235542766087,14.67355427660869,2.328796,12.0,12.0,24.0,not_flagged_baseline,True,True,True,True,True
2021,00-0036290,TE,Cole Kmet,CHI,0,0,0,0,0,0,60,612,0,93,0.0,-0.2222453574941028,-5.914550160515386,-6.136795518009489,39.46320448199051,1.722224,0.954445,True,False,True,normal_sample,contract_matched,high,2020.0,2.0,43.0,1.0,round_2,rookie_contract,True,27.0,28.0,1.0,14.0,2021,CHI,73.5202807531176,12.370280753117598,2.066669,15.0,8.0,23.0,not_flagged_baseline,True,True,True,True,True
2021,00-0036331,WR,Devin Duvernay,BAL,0,0,0,0,50,0,33,272,2,47,0.0,2.461163314874284,7.448230200625511,9.909393515499795,40.259393515499795,1.039958,0.817992,True,False,True,normal_sample,contract_matched,high,2020.0,3.0,92.0,1.0,round_3,rookie_contract,True,84.0,74.0,-10.0,64.0,2021,BAL,70.9264269904059,25.12642699040589,1.227966,22.0,49.0,71.0,not_flagged_baseline,True,True,True,True,True
2021,00-0036360,RB,Clyde Edwards-Helaire,KC,0,0,0,0,517,4,19,129,2,23,0.0,-8.796600045228843,-0.8597231574044382,-9.65632320263328,45.39367679736672,2.459449,1.10189,True,False,True,normal_sample,contract_matched,high,2020.0,1.0,32.0,1.0,round_1,rookie_contract,True,45.0,21.0,-24.0,60.0,2021,KC,57.12653345686559,12.226533456865582,2.951339,-15.0,34.0,19.0,not_flagged_baseline,True,False,False,True,True
2021,00-0036387,WR,Jalen Reagor,PHI,0,0,0,0,32,0,33,299,2,57,0.0,-1.5066254753619432,-10.805154635583914,-12.311780110945858,18.488219889054143,3.016063,1.213213,True,False,True,normal_sample,contract_matched,high,2020.0,1.0,21.0,1.0,round_1,rookie_contract,True,100.0,45.0,-55.0,91.0,2021,,,,,,,,not_flagged_baseline,False,False,False,False,False
2021,00-0036407,WR,Jerry Jeudy,DEN,0,0,0,0,3,0,38,467,0,56,0.0,-0.8548270971514285,15.39769679902086,14.542869701869432,47.542869701869435,3.452945,1.300589,True,False,True,normal_sample,contract_matched,high,2020.0,1.0,15.0,1.0,round_1,rookie_contract,True,73.0,39.0,-34.0,85.0,2021,DEN,134.23389582088225,48.88389582088225,4.143534,24.0,15.0,39.0,not_flagged_baseline,True,True,True,True,True
2021,00-0036422,TE,Adam Trautman,NO,0,0,0,0,0,0,27,263,2,43,0.0,0.0,-8.266787527787667,-8.266787527787667,17.633212472212335,1.022591,0.814518,True,False,True,normal_sample,contract_matched,high,2020.0,3.0,105.0,1.0,round_3,rookie_contract,True,35.0,31.0,-4.0,21.0,2021,,,,,,,,not_flagged_baseline,False,False,False,False,False
2021,00-0036427,WR,Tyler Johnson,TB,0,0,0,0,0,0,36,360,0,55,0.0,0.0,6.540266867442439,6.540266867442439,33.54026686744244,0.858605,0.78,True,False,True,normal_sample,contract_matched,high,2020.0,5.0,161.0,1.0,rounds_4_5,rookie_contract,True,89.0,84.0,-5.0,58.0,2021,,,,,,,,not_flagged_baseline,False,False,False,False,False
2021,00-0036550,WR,Rashod Bateman,BAL,0,0,0,0,0,0,46,515,1,68,0.0,0.0,14.884151672314442,14.884151672314442,55.134151672314445,2.290802,7.183208,True,False,True,normal_sample,contract_matched,high,2021.0,1.0,27.0,0.0,round_1,rookie_contract,True,65.0,51.0,-14.0,70.0,2021,,,,,,,,not_flagged_baseline,False,False,False,False,False
2021,00-0036555,RB,Chuba Hubbard,CAR,0,0,0,0,612,5,25,174,1,37,0.0,-23.95744014318916,-10.22698449769974,-34.1844246408889,29.365575359111105,0.838293,1.373172,True,False,True,normal_sample,contract_matched,high,2021.0,4.0,126.0,0.0,rounds_4_5,rookie_contract,True,59.0,56.0,-3.0,39.0,2021,CAR,44.911919202189594,3.561919202189589,1.003293,1.0,44.0,45.0,not_flagged_baseline,True,True,False,True,True
2021,00-0036898,QB,Davis Mills,HOU,2664,16,10,31,44,0,0,0,0,0,-44.68131005825806,-7.287931496624697,0.0,-51.96924155488276,-18.879241554882757,0.949473,1.817892,True,False,True,normal_sample,contract_matched,high,2021.0,3.0,67.0,0.0,round_3,rookie_contract,True,33.0,34.0,1.0,17.0,2021,HOU,-33.25022976549242,-72.08022976549242,1.186841,-2.0,39.0,37.0,not_flagged_baseline,True,False,False,False,False
2021,00-0036906,RB,Khalil Herbert,CHI,0,0,0,0,433,2,14,96,0,16,0.0,-2.985199351911433,-0.7655202172282789,-3.750719569139712,32.19928043086029,0.692676,0.790704,True,False,True,normal_sample,contract_matched,high,2021.0,6.0,217.0,0.0,rounds_6_7,rookie_contract,True,58.0,62.0,4.0,34.0,2021,CHI,56.95811823012483,0.3081182301248284,0.754899,16.0,35.0,51.0,not_flagged_baseline,True,True,True,True,True
2021,00-0036913,WR,Kadarius Toney,NYG,19,0,0,1,6,0,39,420,0,57,-0.828378256643191,-3.3227411037660204,14.437597982451354,10.286478622042145,41.27647862204214,2.494456,7.997824,True,False,True,normal_sample,contract_matched,high,2021.0,1.0,20.0,0.0,round_1,rookie_contract,True,83.0,50.0,-33.0,84.0,2021,,,,,,,,not_flagged_baseline,False,False,False,False,False
2021,00-0036936,WR,Rondale Moore,ARI,0,0,0,0,76,0,54,435,1,64,0.0,-0.1600738250126596,1.4988294399605675,1.338755614947908,43.38875561494791,1.258955,3.05582,True,False,True,normal_sample,contract_matched,high,2021.0,2.0,49.0,0.0,round_2,rookie_contract,True,80.0,67.0,-13.0,68.0,2021,ARI,37.52008110870104,3.8200811087010376,1.573694,-23.0,88.0,65.0,not_flagged_baseline,True,False,False,False,False
2021,00-0036945,QB,Justin Fields,CHI,1870,7,10,36,420,2,0,0,0,0,-64.92877211484534,6.727855220108761,0.0,-58.20091689473658,-27.500916894736577,3.431264,11.745056,True,False,True,normal_sample,contract_matched,high,2021.0,1.0,11.0,0.0,round_1,rookie_contract,True,34.0,28.0,-6.0,22.0,2021,CHI,99.44367863324936,-2.376321366750659,4.28908,12.0,14.0,26.0,not_flagged_baseline,True,True,True,True,True
2021,00-0036970,TE,Kyle Pitts,ATL,0,0,0,0,0,0,68,1026,1,110,0.0,0.0,26.331114934679142,26.331114934679142,97.63111493467916,5.983726,21.954904,True,False,True,normal_sample,contract_matched,high,2021.0,1.0,4.0,0.0,round_1,rookie_contract,True,9.0,8.0,-1.0,17.0,2021,ATL,34.177594560885424,3.3775945608854245,7.479658,-22.0,30.0,8.0,not_flagged_baseline,True,False,False,False,False
2021,00-0036971,QB,Trevor Lawrence,JAX,3641,12,17,32,334,2,0,0,0,0,-60.74785959799543,11.314141616867088,0.0,-49.43371798112834,-8.323717981128336,6.689725,24.7789,True,False,True,normal_sample,contract_matched,high,2021.0,1.0,1.0,0.0,round_1,rookie_contract,True,31.0,21.0,-10.0,29.0,2021,JAX,176.5541878680687,78.62418786806869,8.362156,16.0,5.0,21.0,not_flagged_baseline,True,True,True,True,True
2021,00-0036980,WR,Elijah Moore,NYJ,0,0,0,0,54,1,43,538,5,77,0.0,5.487859735818347,-1.2907747868831336,4.197084948935213,62.547084948935215,1.625531,4.522124,True,False,True,normal_sample,contract_matched,high,2021.0,2.0,34.0,0.0,round_2,rookie_contract,True,59.0,60.0,1.0,51.0,2021,NYJ,35.19248624491873,0.3924862449187314,2.031914,-30.0,89.0,59.0,not_flagged_baseline,True,False,False,False,False
2021,00-0037013,QB,Zach Wilson,NYJ,2334,9,11,44,185,4,0,0,0,1,-95.573186357066,7.612972202916222,-0.7408587794052437,-88.70107293355501,-59.11107293355501,6.391033,23.584132,True,False,True,normal_sample,contract_matched,high,2021.0,1.0,2.0,0.0,round_1,rookie_contract,True,36.0,22.0,-14.0,32.0,2021,NYJ,-14.550088698989663,-35.13008869898967,7.988791,-15.0,38.0,23.0,not_flagged_baseline,True,False,False,True,True
2022,00-0034750,RB,Rashaad Penny,SEA,0,0,0,0,346,2,4,16,0,5,0.0,13.144489079655614,1.0691364296362735,14.213625509291887,39.31362550929188,5.63,5.27,True,False,True,normal_sample,contract_matched,high,2018.0,1.0,27.0,4.0,round_1,possible_fifth_year_option,True,47.0,10.0,-37.0,57.0,2022,,,,,,,,not_flagged_baseline,False,False,False,False,False
2022,00-0034796,QB,Lamar Jackson,BAL,2242,17,7,26,764,3,0,0,0,0,10.480335525684676,39.77210110162841,0.0,50.25243662731309,133.3724366273131,23.016,23.016,True,False,True,normal_sample,contract_matched,high,2018.0,1.0,32.0,4.0,round_1,possible_fifth_year_option,True,9.0,7.0,-2.0,22.0,2022,BAL,186.8112767115556,69.2312767115556,22.15,0.0,5.0,5.0,not_flagged_baseline,True,False,False,True,True
2022,00-0034827,WR,DJ Moore,CAR,0,0,0,0,53,0,63,888,7,118,0.0,1.835315614705905,17.1454779588789,18.980793573584805,102.78079357358482,6.11,20.735,True,False,True,normal_sample,contract_matched,high,2018.0,1.0,24.0,4.0,round_1,possible_fifth_year_option,True,29.0,27.0,-2.0,56.0,2022,CHI,182.9259868393677,62.67598683936771,20.165,-4.0,7.0,3.0,not_flagged_baseline,True,False,False,True,True
2022,00-0034830,TE,Hayden Hurst,CIN,0,0,0,0,0,0,52,414,2,68,0.0,0.0,20.734153085926952,20.734153085926952,60.43415308592695,3.476466,3.601471,True,False,True,normal_sample,contract_matched,high,2018.0,1.0,25.0,4.0,round_1,possible_fifth_year_option,True,15.0,16.0,1.0,17.0,2022,,,,,,,,not_flagged_baseline,False,False,False,False,False
2022,00-0034844,RB,Saquon Barkley,NYG,0,0,0,0,1312,10,57,338,0,76,0.0,-15.51116913972907,-12.5992434311378,-28.11041257086687,98.63958742913314,7.217,7.217,True,False,True,normal_sample,contract_matched,high,2018.0,1.0,2.0,4.0,round_1,possible_fifth_year_option,True,10.0,5.0,-5.0,39.0,2022,NYG,45.5106420634264,-56.8393579365736,10.091,-34.0,37.0,3.0,not_flagged_baseline,True,False,False,False,False
2022,00-0034869,QB,Sam Darnold,CAR,1143,7,3,10,106,2,0,0,0,0,21.072685399863992,-4.00550188154991,0.0,17.06718351831408,45.297183518314085,18.858,18.858,True,False,True,normal_sample,contract_matched,high,2018.0,1.0,3.0,4.0,round_1,possible_fifth_year_option,True,25.0,10.0,-15.0,32.0,2022,,,,,,,,not_flagged_baseline,False,False,False,False,False
2022,00-0034981,TE,Foster Moreau,LV,0,0,0,0,2,0,33,420,2,54,0.0,0.0,8.415477423375705,8.415477423375705,43.76547742337571,2.662098,2.54,True,False,True,normal_sample,contract_matched,high,2019.0,4.0,137.0,3.0,rounds_4_5,rookie_contract,True,24.0,20.0,-4.0,22.0,2022,,,,,,,,not_flagged_baseline,False,False,False,False,False
2022,00-0034983,WR,Hunter Renfrow,LV,0,0,0,0,0,0,36,330,2,50,0.0,0.0,3.097914962097703,3.097914962097703,34.597914962097704,3.543987,10.55,True,False,True,normal_sample,contract_matched,high,2019.0,5.0,149.0,3.0,rounds_4_5,rookie_contract,True,90.0,48.0,-42.0,88.0,2022,,,,,,,,not_flagged_baseline,False,False,False,False,False
